country,Code,Year,Extreme cold,Moderate cold,Moderate heat,Extreme heat
Australia,AUS,2015,0.67,5.82,0.14,0.32
Brazil,BRA,2015,0.49,2.34,0.48,0.22
Canada,CAN,2015,0.25,4.21,0.27,0.26
China,CHN,2015,1.06,9.31,0.24,0.4
Italy,ITA,2015,0.85,8.51,0.94,0.67
Japan,JPN,2015,0.77,9.04,0.13,0.18
South Korea,KOR,2015,0.35,6.58,0.1,0.21
Spain,ESP,2015,0.71,4.75,0.54,0.52
Sweden,SWE,2015,0.27,3.44,0.03,0.15
Taiwan,TWN,2015,0.71,3.19,0.6,0.25
Thailand,THA,2015,0.44,2.17,0.47,0.28
United Kingdom,GBR,2015,0.86,7.62,0.07,0.22
United States,USA,2015,0.45,5.15,0.14,0.21
Japan,JPN,2015,0.77,9.04,0.13,0.18
South Korea,KOR,2015,0.35,6.58,0.1,0.21
Spain,ESP,2015,0.71,4.75,0.54,0.52
Sweden,SWE,2015,0.27,3.44,0.03,0.15
Taiwan,TWN,2015,0.71,3.19,0.6,0.25
Canada,CAN,2015,0.25,4.21,0.27,0.26
China,CHN,2015,1.06,9.31,0.24,0.4
Italy,ITA,2015,0.85,8.51,0.94,0.67
Japan,JPN,2015,0.77,9.04,0.13,0.18
South Korea,KOR,2015,0.35,6.58,0.1,0.21
Spain,ESP,2015,0.71,4.75,0.54,0.52
Sweden,SWE,2015,0.27,3.44,0.03,0.15
Taiwan,TWN,2015,0.71,3.19,0.6,0.25
Thailand,THA,2015,0.44,2.17,0.47,0.28
